Class,Family,Number,Withdrawn?,Title,Impact,Priority,Description,Supplemental-Guidance,Enhancement 1 Impact,Enhancement 1 Description,Enhancement 1 Supplemental Guidance,Enhancement 2 Impact,Enhancement 2 Description,Enhancement 2 Supplemental Guidance,Enhancement 3 Impact,Enhancement 3 Description,Enhancement 3 Supplemental Guidance,Enhancement 4 Impact,Enhancement 4 Description,Enhancement 4 Supplemental Guidance,Enhancement 5 Impact,Enhancement 5 Description,Enhancement 5 Supplemental Guidance,Enhancement 6 Impact,Enhancement 6 Description,Enhancement 6 Supplemental Guidance,Enhancement 7 Impact,Enhancement 7 Description,Enhancement 7 Supplemental Guidance,Enhancement 8 Impact,Enhancement 8 Description,Enhancement 8 Supplemental Guidance,Enhancement 9 Impact,Enhancement 9 Description,Enhancement 9 Supplemental Guidance,Enhancement 10 Impact,Enhancement 10 Description,Enhancement 10 Supplemental Guidance,Enhancement 11 Impact,Enhancement 11 Description,Enhancement 11 Supplemental Guidance,Enhancement 12 Impact,Enhancement 12 Description,Enhancement 12 Supplemental Guidance,Enhancement 13 Impact,Enhancement 13 Description,Enhancement 13 Supplemental Guidance,Enhancement 14 Impact,Enhancement 14 Description,Enhancement 14 Supplemental Guidance,Enhancement 15 Impact,Enhancement 15 Description,Enhancement 15 Supplemental Guidance,Enhancement 16 Impact,Enhancement 16 Description,Enhancement 16 Supplemental Guidance,Enhancement 17 Impact,Enhancement 17 Description,Enhancement 17 Supplemental Guidance,Enhancement 18 Impact,Enhancement 18 Description,Enhancement 18 Supplemental Guidance
Technical,Audit and Accountability,AU-12,,Audit Generation,LOW_MODERATE_HIGH,P1,The information system: Provides audit record generation capability for the list of auditable events defined in AU-2 at [ Assignment: organization-defined information system components ]; Allows designated organizational personnel to select which auditable events are to be audited by specific components of the system; and Generates audit records for the list of audited events defined in AU-2 with the content as defined in AU-3. ,"Audits records can be generated from various components within the information system. The list of audited events is the set of events for which audits are to be generated. This set of events is typically a subset of the list of all events for which the system is capable of generating audit records (i.e., auditable events). Related controls: AU-2, AU-3. ",HIGH,The information system compiles audit records from [ Assignment: organization-defined information system components ] into a system-wide (logical or physical) audit trail that is time-correlated to within [ Assignment: organization-defined level of tolerance for relationship between time stamps of individual records in the audit trail ]. ,The audit trail is time-correlated if the time stamp in the individual audit records can be reliably related to the time stamp in other audit records to achieve a time ordering of the records within the organization-defined tolerance. ,NONE,The information system produces a system-wide (logical or physical) audit trail composed of audit records in a standardized format. ,"Audit information normalized to a common standard promotes interoperability and exchange of such information between dissimilar devices and information systems. This facilitates an audit system that produces event information that can be more readily analyzed and correlated. System log records and audit records compliant with the Common Event Expression (CEE) are examples of standard formats for audit records. If individual logging mechanisms within the information system do not conform to a standardized format, the system may convert individual audit records into a standardized format when compiling the system-wide audit trail. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Audit and Accountability,AU-13,,Monitoring for Information Disclosure,NONE,P0,The organization monitors open source information for evidence of unauthorized exfiltration or disclosure of organizational information [ Assignment: organization-defined frequency ]. ,None. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical,Audit and Accountability,AU-14,,Session Audit,NONE,P0,The information system provides the capability to: Capture/record and log all content related to a user session; and Remotely view/hear all content related to an established user session in real time. ,"Session auditing activities are developed, integrated, and used in consultation with legal counsel in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations. ",NONE,The information system initiates session audits at system start-up. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-1,,Security Assessment and Authorization Policies and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: Formal, documented security assessment and authorization policies that address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the security assessment and authorization policies and associated security assessment and authorization controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the security assessment and authorization family. The policies and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The security assessment/authorization policies can be included as part of the general information security policy for the organization. Security assessment/authorization procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the security assessment and authorization policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-2,,Security Assessments,LOW_MODERATE_HIGH,P2,"The organization: Develops a security assessment plan that describes the scope of the assessment including: Security controls and control enhancements under assessment; Assessment procedures to be used to determine security control effectiveness; and Assessment environment, assessment team, and assessment roles and responsibilities; Assesses the security controls in the information system [ Assignment: organization-defined frequency ] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system; Produces a security assessment report that documents the results of the assessment; and Provides the results of the security control assessment, in writing, to the authorizing official or authorizing official designated representative. ","The organization assesses the security controls in an information system as part of: (i) security authorization or reauthorization; (ii) meeting the FISMA requirement for annual assessments; (iii) continuous monitoring; and (iv) testing/evaluation of the information system as part of the system development life cycle process. The assessment report documents the assessment results in sufficient detail as deemed necessary by the organization, to determine the accuracy and completeness of the report and whether the security controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements of the information system. The FISMA requirement for (at least) annual security control assessments should not be interpreted by organizations as adding additional assessment requirements to those requirements already in place in the security authorization process. To satisfy the FISMA annual assessment requirement, organizations can draw upon the security control assessment results from any of the following sources, including but not limited to: (i) assessments conducted as part of an information system authorization or reauthorization process; (ii) continuous monitoring (see CA-7); or (iii) testing and evaluation of an information system as part of the ongoing system development life cycle (provided that the testing and evaluation results are current and relevant to the determination of security control effectiveness). Existing security control assessment results are reused to the extent that they are still valid and are supplemented with additional assessments as needed. Subsequent to the initial authorization of the information system and in accordance with OMB policy, the organization assesses a subset of the security controls annually during continuous monitoring. The organization establishes the security control selection criteria and subsequently selects a subset of the security controls within the information system and its environment of operation for assessment. Those security controls that are the most volatile (i.e., controls most affected by ongoing changes to the information system or its environment of operation) or deemed critical by the organization to protecting organizational operations and assets, individuals, other organizations, and the Nation are assessed more frequently in accordance with an organizational assessment of risk. All other controls are assessed at least once during the information systems three-year authorization cycle. The organization can use the current years assessment results from any of the above sources to meet the FISMA annual assessment requirement provided that the results are current, valid, and relevant to determining security control effectiveness. External audits (e.g., audits conducted by external entities such as regulatory agencies) are outside the scope of this control. Related controls: CA-6, CA-7, PM-9, SA-11. ",MODERATE_HIGH,The organization employs an independent assessor or assessment team to conduct an assessment of the security controls in the information system. ,"An independent assessor or assessment team is any individual or group capable of conducting an impartial assessment of an organizational information system. Impartiality implies that the assessors are free from any perceived or actual conflicts of interest with respect to the developmental, operational, and/or management chain associated with the information system or to the determination of security control effectiveness. Independent security assessment services can be obtained from other elements within the organization or can be contracted to a public or private sector entity outside of the organization. Contracted assessment services are considered independent if the information system owner is not directly involved in the contracting process or cannot unduly influence the impartiality of the assessor or assessment team conducting the assessment of the security controls in the information system. The authorizing official determines the required level of assessor independence based on the security categorization of the information system and/or the ultimate risk to organizational operations and assets, and to individuals. The authorizing official determines if the level of assessor independence is sufficient to provide confidence that the assessment results produced are sound and can be used to make a credible, risk-based decision. In special situations, for example when the organization that owns the information system is small or the organizational structure requires that the assessment be accomplished by individuals that are in the developmental, operational, and/or management chain of the system owner, independence in the assessment process can be achieved by ensuring that the assessment results are carefully reviewed and analyzed by an independent team of experts to validate the completeness, accuracy, integrity, and reliability of the results. ",HIGH,"The organization includes as part of security control assessments, [ Assignment: organization-defined frequency ], [ Selection: announced; unannounced ], [ Selection: in-depth monitoring; malicious user testing; penetration testing; red team exercises; [ Assignment: organization-defined other forms of security testing ]]. ","Penetration testing exercises both physical and technical security controls. A standard method for penetration testing consists of: (i) pretest analysis based on full knowledge of the target system; (ii) pretest identification of potential vulnerabilities based on pretest analysis; and (iii) testing designed to determine exploitability of identified vulnerabilities. Detailed rules of engagement are agreed upon by all parties before the commencement of any penetration testing scenario. These rules of engagement are correlated with the tools, techniques, and procedures that are anticipated to be employed by threat-sources in carrying out attacks. An organizational assessment of risk guides the decision on the level of independence required for penetration agents or penetration teams conducting penetration testing. Red team exercises are conducted as a simulated adversarial attempt to compromise organizational missions and/or business processes to provide a comprehensive assessment of the security capability of the information system and organization. While penetration testing may be laboratory-based testing, red team exercises are intended to be more comprehensive in nature and reflect real-world conditions. Information system monitoring, malicious user testing, penetration testing, red-team exercises, and other forms of security testing (e.g., independent verification and validation) are conducted to improve the readiness of the organization by exercising organizational capabilities and indicating current performance levels as a means of focusing organizational actions to improve the security state of the system and organization. Testing is conducted in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards. Testing methods are approved by authorizing officials in coordination with the organizations Risk Executive Function. Vulnerabilities uncovered during red team exercises are incorporated into the vulnerability remediation process. Related controls: RA-5, SI-2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-3,,Information System Connections,LOW_MODERATE_HIGH,P1,"The organization: Authorizes connections from the information system to other information systems outside of the authorization boundary through the use of Interconnection Security Agreements; Documents, for each connection, the interface characteristics, security requirements, and the nature of the information communicated; and Monitors the information system connections on an ongoing basis verifying enforcement of security requirements. ","This control applies to dedicated connections between information systems and does not apply to transitory, user-controlled connections such as email and website browsing. The organization carefully considers the risks that may be introduced when information systems are connected to other systems with different security requirements and security controls, both within the organization and external to the organization. Authorizing officials determine the risk associated with each connection and the appropriate controls employed. If the interconnecting systems have the same authorizing official, an Interconnection Security Agreement is not required. Rather, the interface characteristics between the interconnecting information systems are described in the security plans for the respective systems. If the interconnecting systems have different authorizing officials but the authorizing officials are in the same organization, the organization determines whether an Interconnection Security Agreement is required, or alternatively, the interface characteristics between systems are described in the security plans of the respective systems. Instead of developing an Interconnection Security Agreement, organizations may choose to incorporate this information into a formal contract, especially if the interconnection is to be established between a federal agency and a nonfederal (private sector) organization. In every case, documenting the interface characteristics is required, yet the formality and approval process vary considerably even though all accomplish the same fundamental objective of managing the risk being incurred by the interconnection of the information systems. Risk considerations also include information systems sharing the same networks. Information systems may be identified and authenticated as devices in accordance with IA-3. Related controls: AC-4, IA-3, SC-7, SA-9. ",NONE,"The organization prohibits the direct connection of an unclassified, national security system to an external network. ","An external network is a network that is not controlled by the organization (e.g., the Internet). No direct connection means that an information system cannot connect to an external network without the use of an approved boundary protection device (e.g., firewall) that mediates the communication between the system and the network ",NONE,"The organization prohibits the direct connection of a classified, national security system to an external network. ","An external network is a network that is not controlled by the organization (e.g., the Internet). No direct connection means that an information system cannot connect to an external network without the use of an approved boundary protection device (e.g., firewall) that mediates the communication between the system and the network. In addition, the approved boundary protection device (typically a managed interface/cross-domain system), provides information flow enforcement from the information system to the external network consistent with AC-4. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-4,,Security Certification,NONE,,[ Withdrawn: Incorporated into CA-2 ]. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-5,,Plan of Action and Milestones,LOW_MODERATE_HIGH,P3,"The organization: Develops a plan of action and milestones for the information system to document the organizations planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities in the system; and Updates existing plan of action and milestones [ Assignment: organization-defined frequency ] based on the findings from security controls assessments, security impact analyses, and continuous monitoring activities. ",The plan of action and milestones is a key document in the security authorization package and is subject to federal reporting requirements established by OMB. Related control: PM-4. ,NONE,"The organization employs automated mechanisms to help ensure that the plan of action and milestones for the information system is accurate, up to date, and readily available. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-6,,Security Authorization,LOW_MODERATE_HIGH,P3,The organization: Assigns a senior-level executive or manager to the role of authorizing official for the information system; Ensures that the authorizing official authorizes the information system for processing before commencing operations; and Updates the security authorization [ Assignment: organization-defined frequency ]. ,"Security authorization is the official management decision, conveyed through the authorization decision document, given by a senior organizational official or executive (i.e., authorizing official) to authorize operation of an information system and to explicitly accept the risk to organizational operations and assets, individuals, other organizations, and the Nation based on the implementation of an agreed-upon set of security controls. Authorizing officials typically have budgetary oversight for information systems or are responsible for the mission or business operations supported by the systems. Security authorization is an inherently federal responsibility and therefore, authorizing officials must be federal employees. Through the security authorization process, authorizing officials are accountable for the security risks associated with information system operations. Accordingly, authorizing officials are in management positions with a level of authority commensurate with understanding and accepting such information system-related security risks. Through the employment of a comprehensive continuous monitoring process, the critical information contained in the authorization package (i.e., the security plan (including risk assessment), the security assessment report, and the plan of action and milestones) is updated on an ongoing basis, providing the authorizing official and the information system owner with an up-to-date status of the security state of the information system. To reduce the administrative cost of security reauthorization, the authorizing official uses the results of the continuous monitoring process to the maximum extent possible as the basis for rendering a reauthorization decision. OMB policy requires that federal information systems are reauthorized at least every three years or when there is a significant change to the system. The organization defines what constitutes a significant change to the information system. Related controls: CA-2, CA-7, PM-9, PM-10. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management,Security Assessment and Authorization,CA-7,,Continuous Monitoring,LOW_MODERATE_HIGH,P3,The organization establishes a continuous monitoring strategy and implements a continuous monitoring program that includes: A configuration management process for the information system and its constituent components; A determination of the security impact of changes to the information system and environment of operation; Ongoing security control assessments in accordance with the organizational continuous monitoring strategy; and Reporting the security state of the information system to appropriate organizational officials [ Assignment: organization-defined frequency ]. ,"A continuous monitoring program allows an organization to maintain the security authorization of an information system over time in a highly dynamic environment of operation with changing threats, vulnerabilities, technologies, and missions/business processes. Continuous monitoring of security controls using automated support tools facilitates near real-time risk management and promotes organizational situational awareness with regard to the security state of the information system. The implementation of a continuous monitoring program results in ongoing updates to the security plan, the security assessment report, and the plan of action and milestones, the three principal documents in the security authorization package. A rigorous and well executed continuous monitoring program significantly reduces the level of effort required for the reauthorization of the information system. Continuous monitoring activities are scaled in accordance with the security categorization of the information system. Related controls: CA-2, CA-5, CA-6, CM-3, CM-4. ",NONE,The organization employs an independent assessor or assessment team to monitor the security controls in the information system on an ongoing basis. ,"The organization can extend and maximize the value of the ongoing assessment of security controls during the continuous monitoring process by requiring an independent assessor or team to assess all of the security controls during the information systems three-year authorization cycle. See supplemental guidance for CA-2, enhancement (1), for further information on assessor independence. Related controls: CA-2, CA-5, CA-6, CM-4. ",NONE,"The organization plans, schedules, and conducts assessments [ Assignment: organization-defined frequency ], [ Selection: announced; unannounced ], [ Selection: in-depth monitoring; malicious user testing; penetration testing; red team exercises; [ Assignment: organization-defined other forms of security assessment ]] to ensure compliance with all vulnerability mitigation procedures. ","Examples of vulnerability mitigation procedures are contained in Information Assurance Vulnerability Alerts. Testing is intended to ensure that the information system continues to provide adequate security against constantly evolving threats and vulnerabilities. Conformance testing also provides independent validation. See supplemental guidance for CA-2, enhancement (2) for further information on malicious user testing, penetration testing, red-team exercises, and other forms of security testing. Related control: CA-2. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-1,,Configuration Management Policy and Procedures,LOW_MODERATE_HIGH,P1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the configuration management policy and associated configuration management controls. ","This control is intended to produce the policy and procedures that are required for the effective implementation of selected security controls and control enhancements in the configuration management family. The policy and procedures are consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance. Existing organizational policies and procedures may make the need for additional specific policies and procedures unnecessary. The configuration management policy can be included as part of the general information security policy for the organization. Configuration management procedures can be developed for the security program in general and for a particular information system, when required. The organizational risk management strategy is a key factor in the development of the configuration management policy. Related control: PM-9. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-2,,Baseline Configuration,LOW_MODERATE_HIGH,P1,"The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system. ","This control establishes a baseline configuration for the information system and its constituent components including communications and connectivity-related aspects of the system. The baseline configuration provides information about the components of an information system (e.g., the standard software load for a workstation, server, network component, or mobile device including operating system/installed applications with current version numbers and patch information), network topology, and the logical placement of the component within the system architecture. The baseline configuration is a documented, up-to-date specification to which the information system is built. Maintaining the baseline configuration involves creating new baselines as the information system changes over time. The baseline configuration of the information system is consistent with the organizations enterprise architecture. Related controls: CM-3, CM-6, CM-8, CM-9. ",MODERATE_HIGH,The organization reviews and updates the baseline configuration of the information system: [ Assignment: organization-defined frequency ]; When required due to [ Assignment organization-defined circumstances ]; and As an integral part of information system component installations and upgrades. ,,HIGH,"The organization employs automated mechanisms to maintain an up-to-date, complete, accurate, and readily available baseline configuration of the information system. ","Software inventory tools are examples of automated mechanisms that help organizations maintain consistent baseline configurations for information systems. Software inventory tools can be deployed for each operating system in use within the organization (e.g., on workstations, servers, network components, mobile devices) and used to track operating system version numbers, applications and types of software installed on the operating systems, and current patch levels. Software inventory tools can also scan information systems for unauthorized software to validate organization-defined lists of authorized and unauthorized software programs. ",MODERATE_HIGH,The organization retains older versions of baseline configurations as deemed necessary to support rollback. ,,MODERATE,"The organization: Develops and maintains [ Assignment: organization-defined list of software programs not authorized to execute on the information system ]; and Employs an allow-all, deny-by-exception authorization policy to identify software allowed to execute on the information system. ",,HIGH,"The organization: Develops and maintains [ Assignment: organization-defined list of software programs authorized to execute on the information system ]; and Employs a deny-all, permit-by-exception authorization policy to identify software allowed to execute on the information system. ",,HIGH,The organization maintains a baseline configuration for development and test environments that is managed separately from the operational baseline configuration. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-3,,Configuration Change Control,MODERATE_HIGH,P1,"The organization: Determines the types of changes to the information system that are configuration controlled; Approves configuration-controlled changes to the system with explicit consideration for security impact analyses; Documents approved configuration-controlled changes to the system; Retains and reviews records of configuration-controlled changes to the system; Audits activities associated with configuration-controlled changes to the system; and Coordinates and provides oversight for configuration change control activities through [ Assignment: organization-defined configuration change control element (e.g., committee, board ] that convenes [ Selection: (one or more): [ Assignment: organization-defined frequency ] ; [ Assignment: organization-defined configuration change conditions ]]. ","The organization determines the types of changes to the information system that are configuration controlled. Configuration change control for the information system involves the systematic proposal, justification, implementation, test/evaluation, review, and disposition of changes to the system, including upgrades and modifications. Configuration change control includes changes to components of the information system, changes to the configuration settings for information technology products (e.g., operating systems, applications, firewalls, routers), emergency changes, and changes to remediate flaws. A typical organizational process for managing configuration changes to the information system includes, for example, a chartered Configuration Control Board that approves proposed changes to the system. Auditing of changes refers to changes in activity before and after a change is made to the information system and the auditing activities required to implement the change. Related controls: CM-4, CM-5, CM-6, SI-2. ",HIGH,The organization employs automated mechanisms to: Document proposed changes to the information system; Notify designated approval authorities; Highlight approvals that have not been received by [ Assignment: organization-defined time period ]; Inhibit change until designated approvals are received; and Document completed changes to the information system. ,,MODERATE_HIGH,"The organization tests, validates, and documents changes to the information system before implementing the changes on the operational system. ","The organization ensures that testing does not interfere with information system operations. The individual/group conducting the tests understands the organizational information security policies and procedures, the information system security policies and procedures, and the specific health, safety, and environmental risks associated with a particular facility and/or process. An operational system may need to be taken off-line, or replicated to the extent feasible, before testing can be conducted. If an information system must be taken off-line for testing, the tests are scheduled to occur during planned system outages whenever possible. In situations where the organization cannot conduct testing of an operational system, the organization employs compensating controls (e.g., providing a replicated system to conduct testing) in accordance with the general tailoring guidance. ",NONE,The organization employs automated mechanisms to implement changes to the current information system baseline and deploys the updated baseline across the installed base. ,"Related controls: CM-2, CM-6. ",NONE,"The organization requires an information security representative to be a member of the [ Assignment: organization-defined configuration change control element (e.g., committee, board) ]. ","Information security representatives can include, for example, information system security officers or information system security managers. The configuration change control element in this control enhancement is consistent with the change control element defined by the organization in CM-3. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-4,,Security Impact Analysis,LOW_MODERATE_HIGH,P2,The organization analyzes changes to the information system to determine potential security impacts prior to change implementation. ,"Security impact analyses are conducted by organizational personnel with information security responsibilities, including for example, Information System Administrators, Information System Security Officers, Information System Security Managers, and Information System Security Engineers. Individuals conducting security impact analyses have the appropriate skills and technical expertise to analyze the changes to information systems and the associated security ramifications. Security impact analysis may include, for example, reviewing information system documentation such as the security plan to understand how specific security controls are implemented within the system and how the changes might affect the controls. Security impact analysis may also include an assessment of risk to understand the impact of the changes and to determine if additional security controls are required. Security impact analysis is scaled in accordance with the security categorization of the information system. Related controls: CA-2, CA-7, CM-3, CM-9, SI-2. ",HIGH,"The organization analyzes new software in a separate test environment before installation in an operational environment, looking for security impacts due to flaws, weaknesses, incompatibility, or intentional malice. ",,NONE,"The organization, after the information system is changed, checks the security functions to verify that the functions are implemented correctly, operating as intended, and producing the desired outcome with regard to meeting the security requirements for the system. ",Changes include information system upgrades and modifications. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-5,,Access Restrictions for Change,MODERATE_HIGH,P1,"The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system. ","Any changes to the hardware, software, and/or firmware components of the information system can potentially have significant effects on the overall security of the system. Accordingly, only qualified and authorized individuals are allowed to obtain access to information system components for purposes of initiating changes, including upgrades and modifications. Additionally, maintaining records of access is essential for ensuring that configuration change control is being implemented as intended and for supporting after-the-fact actions should the organization become aware of an unauthorized change to the information system. Access restrictions for change also include software libraries. Examples of access restrictions include, for example, physical and logical access controls (see AC-3 and PE-3), workflow automation, media libraries, abstract layers (e.g., changes are implemented into a third-party interface rather than directly into the information system component), and change windows (e.g., changes occur only during specified times, making unauthorized changes outside the window easy to discover). Some or all of the enforcement mechanisms and processes necessary to implement this security control are included in other controls. For measures implemented in other controls, this control provides information to be used in the implementation of the other controls to cover specific needs related to enforcing authorizations to make changes to the information system, auditing changes, and retaining and review records of changes. Related controls: AC-3, AC-6, PE-3. ",HIGH,The organization employs automated mechanisms to enforce access restrictions and support auditing of the enforcement actions. ,,HIGH,The organization conducts audits of information system changes [ Assignment: organization-defined frequency ] and when indications so warrant to determine whether unauthorized changes have occurred. ,,HIGH,The information system prevents the installation of [ Assignment: organization-defined critical software programs ] that are not signed with a certificate that is recognized and approved by the organization. ,"Critical software programs and/or modules include, for example, patches, service packs, and where applicable, device drivers. ",NONE,The organization enforces a two-person rule for changes to [ Assignment: organization-defined information system components and system-level information ]. ,,NONE,"The organization: Limits information system developer/integrator privileges to change hardware, software, and firmware components and system information directly within a production environment; and Reviews and reevaluates information system developer/integrator privileges [ Assignment: organization-defined frequency ]. ",,NONE,The organization limits privileges to change software resident within software libraries (including privileged programs). ,,NONE,The information system automatically implements [ Assignment: organization-defined safeguards and countermeasures ] if security functions (or mechanisms) are changed inappropriately. ,"The information system reacts automatically when inappropriate and/or unauthorized modifications have occurred to security functions or mechanisms. Automatic implementation of safeguards and countermeasures includes, for example, reversing the change, halting the information system or triggering an audit alert when an unauthorized modification to a critical security file occurs. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-6,,Configuration Settings,LOW_MODERATE_HIGH,P1,"The organization: Establishes and documents mandatory configuration settings for information technology products employed within the information system using [ Assignment: organization-defined security configuration checklists ] that reflect the most restrictive mode consistent with operational requirements; Implements the configuration settings; Identifies, documents, and approves exceptions from the mandatory configuration settings for individual components within the information system based on explicit operational requirements; and Monitors and controls changes to the configuration settings in accordance with organizational policies and procedures. ","Configuration settings are the configurable security-related parameters of information technology products that are part of the information system. Security-related parameters are those parameters impacting the security state of the system including parameters related to meeting other security control requirements. Security-related parameters include, for example, registry settings; account, file, and directory settings (i.e., permissions); and settings for services, ports, protocols, and remote connections. Organizations establish organization-wide mandatory configuration settings from which the settings for a given information system are derived. A security configuration checklist (sometimes referred to as a lockdown guide, hardening guide, security guide, security technical implementation guide [STIG], or benchmark) is a series of instructions or procedures for configuring an information system component to meet operational requirements. Checklists can be developed by information technology developers and vendors, consortia, academia, industry, federal agencies (and other government organizations), and others in the public and private sectors. An example of a security configuration checklist is the Federal Desktop Core Configuration (FDCC) which potentially affects the implementation of CM-6 and other controls such as AC-19 and CM-7. The Security Content Automation Protocol (SCAP) and defined standards within the protocol (e.g., Common Configuration Enumeration) provide an effective method to uniquely identify, track, and control configuration settings. OMB establishes federal policy on configuration requirements for federal information systems. Related controls: CM-2, CM-3, SI-4. ",HIGH,"The organization employs automated mechanisms to centrally manage, apply, and verify configuration settings. ",,HIGH,The organization employs automated mechanisms to respond to unauthorized changes to [ Assignment: organization-defined configuration settings ]. ,"Responses to unauthorized changes to configuration settings can include, for example, alerting designated organizational personnel, restoring mandatory/organization-defined configuration settings, or in the extreme case, halting affected information system processing. ",MODERATE_HIGH,"The organization incorporates detection of unauthorized, security-relevant configuration changes into the organizations incident response capability to ensure that such detected events are tracked, monitored, corrected, and available for historical purposes. ","Related controls: IR-4, IR-5. ",NONE,"The information system (including modifications to the baseline configuration) demonstrates conformance to security configuration guidance (i.e., security checklists), prior to being introduced into a production environment. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational,Configuration Management,CM-7,,Least Functionality,LOW_MODERATE_HIGH,P1,"The organization configures the information system to provide only essential capabilities and specifically prohibits or restricts the use of the following functions, ports, protocols, and/or services: [ Assignment: organization-defined list of prohibited or restricted functions, ports, protocols, and/or services ]. ","Information systems are capable of providing a wide variety of functions and services. Some of the functions and services, provided by default, may not be necessary to support essential organizational operations (e.g., key missions, functions). Additionally, it is sometimes convenient to provide multiple services from a single component of an information system, but doing so increases risk over limiting the services provided by any one component. Where feasible, organizations limit component functionality to a single function per device (e.g., email server or web server, not both). The functions and services provided by organizational information systems, or individual components of information systems, are carefully reviewed to determine which functions and services are candidates for elimination (e.g., Voice Over Internet Protocol, Instant Messaging, auto-execute, file sharing). Organizations consider disabling unused or unnecessary physical and logical ports and protocols (e.g., Universal Serial Bus [USB], File Transfer Protocol [FTP], Internet Protocol Version 6 [IPv6], Hyper Text Transfer Protocol [HTTP]) on information system components to prevent unauthorized connection of devices, unauthorized transfer of information, or unauthorized tunneling. Organizations can utilize network scanning tools, intrusion detection and prevention systems, and end-point protections such as firewalls and host-based intrusion detection systems to identify and prevent the use of prohibited functions, ports, protocols, and services. Related control: RA-5. ",MODERATE_HIGH,"The organization reviews the information system [ Assignment: organization-defined frequency ] to identify and eliminate unnecessary functions, ports, protocols, and/or services. ",,HIGH,The organization employs automated mechanisms to prevent program execution in accordance with [ Selection (one or more): list of authorized software programs; list of unauthorized software programs; rules authorizing the terms and conditions of software program usage ]. ,Related control: CM-2. ,NONE,"The organization ensures compliance with [ Assignment: organization-defined registration requirements for ports, protocols, and services ]. ","Organizations use the registration process to manage, track, and provide oversight for information systems and implemented functionality. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
